,order_id,customer_id,payment,order_date,delivery_date,customer_name,gender,age,home_address,zip_code,city,state,country,sales_id,product_id,price_per_unit,quantity_x,total_price,product_type,product_name,size,colour,price,quantity_y,description,differance,year_order,month_order,day_order,name_day_order,year_delivery,month_delivery,day_delivery,name_day_delivery,differance_num
18,4,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,18,923,96,3,288,Trousers,Drawstring,L,yellow,104,68,"A yellow coloured, L sized, Drawstring Trousers",13 days,2021,5,6,Thursday,2021,5,19,Wednesday,13
19,4,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,19,12,96,2,192,Shirt,Oxford Cloth,M,yellow,114,56,"A yellow coloured, M sized, Oxford Cloth Shirt",13 days,2021,5,6,Thursday,2021,5,19,Wednesday,13
20,5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,20,148,91,2,182,Shirt,Linen,L,orange,116,73,"A orange coloured, L sized, Linen Shirt",1 days,2021,3,23,Tuesday,2021,3,24,Wednesday,1
21,5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,21,475,118,2,236,Jacket,Puffer,XS,blue,110,57,"A blue coloured, XS sized, Puffer Jacket",1 days,2021,3,23,Tuesday,2021,3,24,Wednesday,1
22,5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,22,1,96,3,288,Shirt,Oxford Cloth,S,red,114,53,"A red coloured, S sized, Oxford Cloth Shirt",1 days,2021,3,23,Tuesday,2021,3,24,Wednesday,1
23,5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,23,830,117,3,351,Jacket,Shearling,XS,indigo,95,68,"A indigo coloured, XS sized, Shearling Jacket",1 days,2021,3,23,Tuesday,2021,3,24,Wednesday,1
24,5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,24,1209,105,3,315,Trousers,Pleated,XL,green,90,55,"A green coloured, XL sized, Pleated Trousers",1 days,2021,3,23,Tuesday,2021,3,24,Wednesday,1
25,5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,25,635,93,3,279,Jacket,Coach,XS,orange,115,42,"A orange coloured, XS sized, Coach Jacket",1 days,2021,3,23,Tuesday,2021,3,24,Wednesday,1
26,5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,26,639,93,3,279,Jacket,Coach,XL,orange,115,46,"A orange coloured, XL sized, Coach Jacket",1 days,2021,3,23,Tuesday,2021,3,24,Wednesday,1
27,5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,27,695,113,1,113,Jacket,Parka,XS,violet,119,59,"A violet coloured, XS sized, Parka Jacket",1 days,2021,3,23,Tuesday,2021,3,24,Wednesday,1
28,6,800,16197,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,28,38,104,2,208,Shirt,Dress,L,red,119,79,"A red coloured, L sized, Dress Shirt",26 days,2021,9,9,Thursday,2021,10,5,Tuesday,26
29,6,800,16197,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,29,473,118,2,236,Jacket,Puffer,L,green,110,43,"A green coloured, L sized, Puffer Jacket",26 days,2021,9,9,Thursday,2021,10,5,Tuesday,26
30,6,800,16197,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,30,242,106,1,106,Shirt,Chambray,M,violet,105,72,"A violet coloured, M sized, Chambray Shirt",26 days,2021,9,9,Thursday,2021,10,5,Tuesday,26
31,6,800,16197,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,31,804,91,2,182,Jacket,Pullover,XL,violet,114,69,"A violet coloured, XL sized, Pullover Jacket",26 days,2021,9,9,Thursday,2021,10,5,Tuesday,26
32,7,626,37666,2021-04-05,2021-04-11,Tann Scothron,Genderqueer,64,72 Hunter Station StApt. 220,1807,Walterstad,New South Wales,Australia,32,850,113,2,226,Trousers,Chinos,XS,yellow,100,41,"A yellow coloured, XS sized, Chinos Trousers",6 days,2021,4,5,Monday,2021,4,11,Sunday,6
33,7,626,37666,2021-04-05,2021-04-11,Tann Scothron,Genderqueer,64,72 Hunter Station StApt. 220,1807,Walterstad,New South Wales,Australia,33,1162,99,3,297,Trousers,High-Waisted,M,orange,98,69,"A orange coloured, M sized, High-Waisted Trousers",6 days,2021,4,5,Monday,2021,4,11,Sunday,6
34,8,58,28484,2021-04-12,2021-05-01,Aurie Margett,Agender,39,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia,34,765,109,1,109,Jacket,Peacoat,XS,violet,102,54,"A violet coloured, XS sized, Peacoat Jacket",19 days,2021,4,12,Monday,2021,5,1,Saturday,19
35,8,58,28484,2021-04-12,2021-05-01,Aurie Margett,Agender,39,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia,35,256,95,2,190,Shirt,Polo,S,yellow,117,77,"A yellow coloured, S sized, Polo Shirt",19 days,2021,4,12,Monday,2021,5,1,Saturday,19
36,9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,36,203,98,1,98,Shirt,Camp Collared,L,indigo,112,72,"A indigo coloured, L sized, Camp Collared Shirt",10 days,2021,5,1,Saturday,2021,5,11,Tuesday,10
37,9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,37,486,118,2,236,Jacket,Puffer,S,violet,110,46,"A violet coloured, S sized, Puffer Jacket",10 days,2021,5,1,Saturday,2021,5,11,Tuesday,10
38,9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,38,708,119,1,119,Jacket,Trench Coat,L,orange,112,70,"A orange coloured, L sized, Trench Coat Jacket",10 days,2021,5,1,Saturday,2021,5,11,Tuesday,10
39,9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,39,1040,90,2,180,Trousers,Relaxed Leg,XS,indigo,95,60,"A indigo coloured, XS sized, Relaxed Leg Trousers",10 days,2021,5,1,Saturday,2021,5,11,Tuesday,10
40,9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,40,917,96,3,288,Trousers,Drawstring,M,orange,104,76,"A orange coloured, M sized, Drawstring Trousers",10 days,2021,5,1,Saturday,2021,5,11,Tuesday,10
41,9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,41,1061,93,2,186,Trousers,Joggers,S,yellow,94,76,"A yellow coloured, S sized, Joggers Trousers",10 days,2021,5,1,Saturday,2021,5,11,Tuesday,10
42,9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,42,35,104,2,208,Shirt,Dress,XS,red,119,63,"A red coloured, XS sized, Dress Shirt",10 days,2021,5,1,Saturday,2021,5,11,Tuesday,10
43,10,659,21922,2021-10-15,2021-10-16,Ira Dafforne,Non-binary,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,43,325,109,3,327,Shirt,Mandarin Collar,XS,yellow,108,45,"A yellow coloured, XS sized, Mandarin Collar Shirt",1 days,2021,10,15,Friday,2021,10,16,Saturday,1
44,10,659,21922,2021-10-15,2021-10-16,Ira Dafforne,Non-binary,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,44,860,113,2,226,Trousers,Chinos,XS,blue,100,69,"A blue coloured, XS sized, Chinos Trousers",1 days,2021,10,15,Friday,2021,10,16,Saturday,1
45,10,659,21922,2021-10-15,2021-10-16,Ira Dafforne,Non-binary,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,45,426,107,3,321,Jacket,Denim,S,orange,92,51,"A orange coloured, S sized, Denim Jacket",1 days,2021,10,15,Friday,2021,10,16,Saturday,1
46,11,785,36624,2021-06-15,2021-06-30,Jillana Blankau,Genderfluid,54,82 Beahan BoulevardSuite 281,2683,Port Adamburgh,Northern Territory,Australia,46,877,94,2,188,Trousers,Cords,M,red,113,68,"A red coloured, M sized, Cords Trousers",15 days,2021,6,15,Tuesday,2021,6,30,Wednesday,15
47,11,785,36624,2021-06-15,2021-06-30,Jillana Blankau,Genderfluid,54,82 Beahan BoulevardSuite 281,2683,Port Adamburgh,Northern Territory,Australia,47,780,91,3,273,Jacket,Pullover,XS,yellow,114,65,"A yellow coloured, XS sized, Pullover Jacket",15 days,2021,6,15,Tuesday,2021,6,30,Wednesday,15
48,12,120,55507,2021-06-30,2021-07-11,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,48,782,91,1,91,Jacket,Pullover,M,yellow,114,49,"A yellow coloured, M sized, Pullover Jacket",11 days,2021,6,30,Wednesday,2021,7,11,Sunday,11
49,12,120,55507,2021-06-30,2021-07-11,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,49,632,93,2,186,Jacket,Coach,M,red,115,76,"A red coloured, M sized, Coach Jacket",11 days,2021,6,30,Wednesday,2021,7,11,Sunday,11
50,12,120,55507,2021-06-30,2021-07-11,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,50,846,113,3,339,Trousers,Chinos,S,orange,100,58,"A orange coloured, S sized, Chinos Trousers",11 days,2021,6,30,Wednesday,2021,7,11,Sunday,11
51,12,120,55507,2021-06-30,2021-07-11,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,51,180,98,1,98,Shirt,Camp Collared,XS,orange,112,52,"A orange coloured, XS sized, Camp Collared Shirt",11 days,2021,6,30,Wednesday,2021,7,11,Sunday,11
52,13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,52,217,106,2,212,Shirt,Chambray,M,orange,105,43,"A orange coloured, M sized, Chambray Shirt",16 days,2021,10,15,Friday,2021,10,31,Sunday,16
53,13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,53,95,118,3,354,Shirt,Flannel,XS,indigo,96,46,"A indigo coloured, XS sized, Flannel Shirt",16 days,2021,10,15,Friday,2021,10,31,Sunday,16
54,13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,54,800,91,2,182,Jacket,Pullover,XS,violet,114,61,"A violet coloured, XS sized, Pullover Jacket",16 days,2021,10,15,Friday,2021,10,31,Sunday,16
55,13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,55,835,117,1,117,Jacket,Shearling,XS,violet,95,75,"A violet coloured, XS sized, Shearling Jacket",16 days,2021,10,15,Friday,2021,10,31,Sunday,16
56,13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,56,1249,112,2,224,Trousers,Tracksuit Bottoms,XL,blue,91,68,"A blue coloured, XL sized, Tracksuit Bottoms Trousers",16 days,2021,10,15,Friday,2021,10,31,Sunday,16
57,13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,57,753,109,2,218,Jacket,Peacoat,L,green,102,73,"A green coloured, L sized, Peacoat Jacket",16 days,2021,10,15,Friday,2021,10,31,Sunday,16
58,13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,58,114,92,3,276,Shirt,Denim,XL,orange,115,67,"A orange coloured, XL sized, Denim Shirt",16 days,2021,10,15,Friday,2021,10,31,Sunday,16
59,14,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,59,1202,105,2,210,Trousers,Pleated,M,yellow,90,54,"A yellow coloured, M sized, Pleated Trousers",14 days,2021,3,29,Monday,2021,4,12,Monday,14
60,14,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,60,227,106,3,318,Shirt,Chambray,M,green,105,56,"A green coloured, M sized, Chambray Shirt",14 days,2021,3,29,Monday,2021,4,12,Monday,14
61,14,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,61,108,92,2,184,Shirt,Denim,L,red,115,52,"A red coloured, L sized, Denim Shirt",14 days,2021,3,29,Monday,2021,4,12,Monday,14
62,14,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,62,91,118,3,354,Shirt,Flannel,S,blue,96,43,"A blue coloured, S sized, Flannel Shirt",14 days,2021,3,29,Monday,2021,4,12,Monday,14
63,14,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,63,909,94,2,188,Trousers,Cords,XL,violet,113,73,"A violet coloured, XL sized, Cords Trousers",14 days,2021,3,29,Monday,2021,4,12,Monday,14
64,15,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,64,699,113,3,339,Jacket,Parka,XL,violet,119,80,"A violet coloured, XL sized, Parka Jacket",16 days,2021,9,22,Wednesday,2021,10,8,Friday,16
65,15,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,65,1195,105,3,315,Trousers,Pleated,XS,orange,90,74,"A orange coloured, XS sized, Pleated Trousers",16 days,2021,9,22,Wednesday,2021,10,8,Friday,16
66,15,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,66,291,105,2,210,Shirt,Cuban Collar,S,yellow,93,41,"A yellow coloured, S sized, Cuban Collar Shirt",16 days,2021,9,22,Wednesday,2021,10,8,Friday,16
67,15,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,67,972,97,3,291,Trousers,Slim-Fit,M,indigo,119,67,"A indigo coloured, M sized, Slim-Fit Trousers",16 days,2021,9,22,Wednesday,2021,10,8,Friday,16
68,15,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,68,1212,105,2,210,Trousers,Pleated,M,blue,90,66,"A blue coloured, M sized, Pleated Trousers",16 days,2021,9,22,Wednesday,2021,10,8,Friday,16
69,16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,69,7,96,3,288,Shirt,Oxford Cloth,M,orange,114,77,"A orange coloured, M sized, Oxford Cloth Shirt",1 days,2021,7,7,Wednesday,2021,7,8,Thursday,1
70,16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,70,381,94,3,282,Shirt,Henley,S,violet,92,43,"A violet coloured, S sized, Henley Shirt",1 days,2021,7,7,Wednesday,2021,7,8,Thursday,1
71,16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,71,17,96,2,192,Shirt,Oxford Cloth,M,green,114,60,"A green coloured, M sized, Oxford Cloth Shirt",1 days,2021,7,7,Wednesday,2021,7,8,Thursday,1
72,16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,72,297,105,2,210,Shirt,Cuban Collar,M,green,93,45,"A green coloured, M sized, Cuban Collar Shirt",1 days,2021,7,7,Wednesday,2021,7,8,Thursday,1
73,16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,73,28,96,1,96,Shirt,Oxford Cloth,L,indigo,114,70,"A indigo coloured, L sized, Oxford Cloth Shirt",1 days,2021,7,7,Wednesday,2021,7,8,Thursday,1
74,16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,74,934,96,1,96,Trousers,Drawstring,XL,blue,104,60,"A blue coloured, XL sized, Drawstring Trousers",1 days,2021,7,7,Wednesday,2021,7,8,Thursday,1
75,16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,75,324,109,3,327,Shirt,Mandarin Collar,XL,orange,108,59,"A orange coloured, XL sized, Mandarin Collar Shirt",1 days,2021,7,7,Wednesday,2021,7,8,Thursday,1
76,16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,76,578,100,2,200,Jacket,Bomber,L,green,90,78,"A green coloured, L sized, Bomber Jacket",1 days,2021,7,7,Wednesday,2021,7,8,Thursday,1
77,16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,77,273,95,1,95,Shirt,Polo,L,indigo,117,60,"A indigo coloured, L sized, Polo Shirt",1 days,2021,7,7,Wednesday,2021,7,8,Thursday,1
78,17,614,51822,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,78,132,92,2,184,Shirt,Denim,M,indigo,115,56,"A indigo coloured, M sized, Denim Shirt",2 days,2021,2,9,Tuesday,2021,2,11,Thursday,2
79,17,614,51822,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,79,791,91,2,182,Jacket,Pullover,S,blue,114,73,"A blue coloured, S sized, Pullover Jacket",2 days,2021,2,9,Tuesday,2021,2,11,Thursday,2
80,17,614,51822,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,80,463,118,1,118,Jacket,Puffer,L,orange,110,66,"A orange coloured, L sized, Puffer Jacket",2 days,2021,2,9,Tuesday,2021,2,11,Thursday,2
81,17,614,51822,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,81,1066,93,2,186,Trousers,Joggers,S,green,94,76,"A green coloured, S sized, Joggers Trousers",2 days,2021,2,9,Tuesday,2021,2,11,Thursday,2
82,18,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,82,35,104,1,104,Shirt,Dress,XS,red,119,63,"A red coloured, XS sized, Dress Shirt",2 days,2021,1,1,Friday,2021,1,3,Sunday,2
83,18,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,83,970,97,3,291,Trousers,Slim-Fit,XS,indigo,119,74,"A indigo coloured, XS sized, Slim-Fit Trousers",2 days,2021,1,1,Friday,2021,1,3,Sunday,2
84,18,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,84,285,105,1,105,Shirt,Cuban Collar,XS,orange,93,62,"A orange coloured, XS sized, Cuban Collar Shirt",2 days,2021,1,1,Friday,2021,1,3,Sunday,2
85,18,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,85,1110,115,3,345,Trousers,Cropped,XS,indigo,99,55,"A indigo coloured, XS sized, Cropped Trousers",2 days,2021,1,1,Friday,2021,1,3,Sunday,2
86,18,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,86,452,107,1,107,Jacket,Denim,M,violet,92,43,"A violet coloured, M sized, Denim Jacket",2 days,2021,1,1,Friday,2021,1,3,Sunday,2
